testCaseId,db_connection_details,query_details,where_clause_columns,where_clause_values,expected_value,polling_timeout,external_view_service_name
SONP-41890_erabRetainabilityPercentageLostForQCI1,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_1440_kpis;e_rab_retainability_percentage_lost_qci1,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_146,MeContext=146243_GLADES_MEDICAL_TOWER,ManagedElement=146243_GLADES_MEDICAL_TOWER,ENodeBFunction=1,EUtranCellFDD=146243_2'";'2020-07-06 12:00:00',4.3478260869565215,1,eric-tcp-traffic-forward-kpi
SONP-41891_cellHandoverSuccessRate,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_1440_kpis;cell_handover_success_rate,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_146,MeContext=146243_GLADES_MEDICAL_TOWER,ManagedElement=146243_GLADES_MEDICAL_TOWER,ENodeBFunction=1,EUtranCellFDD=146243_2'";'2020-07-06 12:00:00',97.5,1,eric-tcp-traffic-forward-kpi
SONP-41891_cellHandoverSuccessRate,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_1440_kpis;cell_handover_success_rate,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_146,MeContext=146098_BOYNTON_BCH_ANI,ManagedElement=146098_BOYNTON_BCH_ANI,ENodeBFunction=1,EUtranCellFDD=146098_3_4'";'2020-07-06 12:00:00',99.27325581395348,1,eric-tcp-traffic-forward-kpi
SONP-45081_Average_UL_PDCP_UE_Throughput_Sector_PA_KPI,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,sector_60_kpis;avg_ul_pdcp_throughput_sector,sector_id;local_timestamp,451333967333310564;'2020-07-06 00:00:00',1861.986457531466,1,eric-tcp-traffic-forward-kpi
SONP-45224_Average_DL_PDCP_UE_Throughput_Sector_PA_KPI,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,sector_60_kpis;avg_dl_pdcp_throughput_sector,sector_id;local_timestamp,451402507213585658;'2020-07-06 00:00:00',12285.812275686676,1,eric-tcp-traffic-forward-kpi
SONP-45224_Average_DL_PDCP_UE_Throughput_Cell_PA_KPI,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;avg_dl_pdcp_throughput_cell,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144015_LIONS_CLUB,ManagedElement=144015_LIONS_CLUB,ENodeBFunction=1,EUtranCellFDD=144015_3_2'";'2020-07-06 00:00:00',20883.927539479428,1,eric-tcp-traffic-forward-kpi
SONP-45595_Cell_Handover_Success_Rate_Hourly_PA_KPI,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;cell_handover_success_rate_hourly,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144015_LIONS_CLUB,ManagedElement=144015_LIONS_CLUB,ENodeBFunction=1,EUtranCellFDD=144015_1_4'";'2020-07-06 12:00:00',99.38080495356037,1,eric-tcp-traffic-forward-kpi
SONP-45225_Initial_And_Added_E_Rab_Establishment_Sr_Hourly_PA_KPI,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;initial_and_added_e_rab_establishment_sr_hourly,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144015_LIONS_CLUB,ManagedElement=144015_LIONS_CLUB,ENodeBFunction=1,EUtranCellFDD=144015_2_8'";'2020-07-06 12:00:00',100,1,eric-tcp-traffic-forward-kpi
SONP-45557_Num_Non_Null_Counters_count_app_cvg_KPI,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;num_non_null_counters_count_app_coverage,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144015_LIONS_CLUB,ManagedElement=144015_LIONS_CLUB,ENodeBFunction=1,EUtranCellFDD=144015_1_2'";'2020-07-06 00:00:00',15,1,eric-tcp-traffic-forward-kpi
SONP-45922_Average_UL_PDCP_UE_Throughput_Cell_PA_KPI,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;avg_ul_pdcp_ue_throughput_cell,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144015_LIONS_CLUB,ManagedElement=144015_LIONS_CLUB,ENodeBFunction=1,EUtranCellFDD=144015_1'";'2020-07-06 00:00:00',1756.4561207378424,1,eric-tcp-traffic-forward-kpi
